sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
178576,hold,359398,274888,365714
178636,hold,302733,275631,421636
178696,long,454194,310792,235014
178756,hold,289728,266588,443684
178816,hold,293224,259198,447578
178876,hold,228620,257726,513654
178936,hold,231383,252215,516402
178996,hold,260903,277904,461194
179056,hold,236775,248353,514872
179116,hold,255876,256277,487847
179176,hold,230319,231532,538149
179236,hold,262906,238630,498465
179296,hold,284200,270915,444885
179356,hold,280439,266014,453547
179416,long,457178,311025,231797
179476,long,413424,314455,272120
179536,hold,287287,271003,441711
179596,hold,266759,242379,490862
179656,hold,256921,274848,468231
179716,hold,266924,261768,471307
179776,hold,287720,237705,474575
179836,hold,269779,285872,444349
179896,hold,291257,256844,451900
179956,hold,256961,242813,500227
180016,hold,290195,279431,430374
180076,hold,286153,274241,439606
180136,hold,341770,258250,399980
180196,hold,266224,246425,487351
180256,hold,226338,230207,543454
180316,hold,234376,244358,521266
180376,hold,231169,236668,532162
180436,hold,232710,255407,511883
180496,hold,262552,253790,483658
180556,hold,231359,231415,537225
180616,hold,223519,244480,532001
180676,hold,254881,239407,505712
180736,hold,262557,250187,487256
180796,hold,273236,260742,466022
180856,hold,350550,307967,341483
180916,long,373213,295575,331212
180976,short,357715,443550,198735
181036,hold,320284,246983,432733
181096,hold,298112,271585,430303
181156,hold,257038,264823,478139
181216,hold,257638,252320,490042
181276,hold,272777,258893,468330
181336,hold,322473,316081,361446
181396,hold,356033,314703,329264
181456,hold,316940,309303,373757
181516,hold,348920,296307,354774
181576,long,377103,314811,308086
181636,hold,301081,247714,451204
181696,hold,272174,277129,450697
181756,hold,275734,282466,441800
181816,hold,237227,258396,504376
181876,hold,237139,248508,514353
181936,hold,220346,245526,534128
181996,hold,226162,236096,537742
182056,hold,243792,256656,499552
182116,hold,214471,235276,550253
182176,hold,233600,239076,527324
182236,hold,251996,238753,509251
182296,hold,322443,309973,367585
182356,hold,306661,244186,449153
182416,hold,325726,325763,348511
182476,hold,298692,265830,435478
182536,long,466786,351511,181703
182596,long,409830,302437,287733
182656,long,406124,268533,325343
182716,hold,268295,286369,445336
182776,hold,313260,269723,417017
182836,hold,260106,278488,461406
182896,hold,275501,256933,467567
182956,long,460430,450266,89304
183016,long,361771,299072,339157
183076,hold,307540,352782,339678
183136,hold,312256,297649,390095
183196,hold,294352,255872,449777
183256,hold,239247,256716,504037
183316,hold,217328,248165,534506
183376,hold,295797,291685,412518
183436,hold,254515,247951,497534
183496,hold,229418,238611,531971
183556,hold,232369,243755,523876
183616,hold,239583,241551,518866
183676,hold,262606,242810,494585
183736,hold,335310,276688,388003
183796,hold,331341,324673,343986
183856,long,547579,290894,161527
183916,hold,292095,262410,445494
183976,hold,356718,280795,362488
184036,hold,300505,272637,426858
184096,long,373372,362872,263757
184156,long,466731,377463,155806
184216,long,603815,252810,143375
184276,hold,314247,278107,407646
184336,hold,328840,302560,368599
184396,long,384212,294636,321152
184456,hold,303062,285732,411206
184516,hold,290745,268849,440406
184576,hold,276965,256335,466700
184636,hold,256474,253020,490506
184696,hold,233798,257137,509064
184756,hold,252549,309188,438263
184816,long,383272,295338,321391
184876,long,541004,325055,133941
184936,long,361056,321006,317937
184996,hold,267615,252358,480028
185056,long,409623,283872,306505
185116,hold,262435,267527,470039
185176,long,392768,331076,276156
185236,long,504903,291455,203642
185296,long,409967,333825,256209
185356,hold,307460,262352,430187
185416,hold,292672,284976,422352
185476,hold,312790,327106,360104
185536,hold,234096,249121,516783
185596,hold,256146,251314,492540
185656,hold,269476,233595,496929
185716,hold,240494,244658,514848
185776,hold,227792,256603,515604
185836,hold,250371,236087,513542
185896,hold,220505,224988,554506
185956,hold,225819,230626,543555
186016,hold,237942,263305,498753
186076,hold,213102,226809,560089
186136,hold,265334,264336,470330
186196,hold,295967,289539,414494
186256,hold,289856,263267,446876
186316,hold,346269,269456,384275
186376,hold,247646,267667,484688
186436,hold,290857,267605,441537
186496,hold,231751,250437,517812
186556,hold,226513,230668,542819
186616,hold,247757,243152,509091
186676,hold,258145,257672,484182
186736,hold,250629,232861,516510
186796,hold,247259,260943,491799
186856,hold,276734,265491,457774
186916,hold,250637,227271,522092
186976,hold,217151,237040,545810
187036,hold,253468,276501,470031
