sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
131776,long,392903,307942,299154
131836,hold,278611,294717,426672
131896,long,552247,397734,50020
131956,long,446102,407687,146212
132016,long,457408,345659,196933
132076,short,378313,422222,199465
132136,long,496090,318916,184994
132196,hold,339958,286542,373500
132256,short,283524,716329,147
132316,long,749661,249462,876
132376,short,442867,546928,10204
132436,long,601319,356581,42100
132496,long,514730,349902,135368
132556,long,428494,292692,278814
132616,hold,307946,307460,384594
132676,hold,338457,315147,346395
132736,hold,274873,257360,467767
132796,hold,269203,252617,478181
132856,hold,245346,261259,493394
132916,long,359589,298057,342353
132976,hold,318203,278172,403624
133036,hold,301055,276500,422444
133096,long,352712,317735,329553
133156,long,397864,299175,302960
133216,long,432207,400463,167330
133276,long,503753,387582,108665
133336,long,559801,407516,32684
133396,long,577987,364344,57670
133456,long,414078,385850,200072
133516,long,444485,330658,224857
133576,long,369609,320914,309477
133636,long,365825,353176,280999
133696,long,374449,290358,335192
133756,hold,279851,290159,429990
133816,hold,322976,250558,426466
133876,long,343779,299153,357068
133936,hold,267758,290009,442232
133996,long,370579,293985,335436
134056,long,433911,301691,264398
134116,hold,318742,302238,379020
134176,hold,317148,287488,395364
134236,hold,268584,251329,480087
134296,hold,216153,215775,568072
134356,long,366412,348857,284730
134416,hold,331358,303241,365400
134476,long,362013,283802,354185
134536,short,364480,533749,101771
134596,long,514348,448764,36888
134656,long,486142,391561,122297
134716,long,458226,363558,178216
134776,long,576672,403497,19831
134836,long,591976,372433,35591
134896,long,650224,320506,29270
134956,long,465538,383666,150796
135016,long,397775,394283,207942
135076,long,496982,336025,166993
135136,long,387069,333738,279193
135196,hold,294821,268113,437066
135256,hold,314040,319505,366455
135316,hold,238467,271217,490316
135376,hold,317130,242043,440827
135436,long,351596,269380,379024
135496,hold,314257,288937,396806
135556,hold,288731,274535,436733
135616,hold,268577,234683,496740
135676,hold,218563,215313,566124
135736,hold,258690,228466,512844
135796,hold,238345,250531,511125
135856,hold,177968,233209,588822
135916,hold,295487,253569,450944
135976,hold,246392,260327,493281
136036,hold,211794,252740,535466
136096,hold,293395,228133,478472
136156,short,296103,344378,359519
136216,long,372100,323264,304636
136276,hold,284578,258936,456487
136336,hold,336838,250517,412646
136396,hold,302976,247767,449257
136456,hold,288405,280854,430741
136516,hold,230641,247151,522208
136576,hold,250284,225979,523737
136636,hold,320839,279089,400071
136696,hold,285499,261144,453357
136756,hold,195082,210902,594016
136816,hold,279155,245740,475105
136876,hold,219899,217910,562191
136936,hold,249923,255903,494174
136996,hold,234519,215907,549574
137056,hold,218672,232767,548561
137116,hold,146735,196521,656744
137176,hold,166932,188798,644270
137236,hold,248587,247240,504172
137296,hold,230869,260422,508710
137356,hold,200835,221101,578064
137416,hold,270430,256304,473266
137476,hold,222204,258279,519517
137536,hold,199033,241363,559604
137596,hold,292336,284309,423356
137656,long,395061,349321,255618
137716,long,359443,302407,338151
137776,hold,258204,261834,479962
137836,short,357270,396812,245918
137896,long,530063,446373,23564
137956,long,750482,242550,6968
138016,long,516466,375795,107739
138076,long,765419,223067,11514
138136,long,581106,395581,23312
138196,long,589200,395784,15016
138256,long,569557,422380,8062
138316,long,539053,399171,61776
138376,long,439371,332983,227647
138436,long,460871,409067,130061
138496,long,574798,393045,32157
138556,long,559517,374296,66187
138616,long,503998,379013,116989
138676,long,662603,331558,5839
138736,long,546209,375931,77860
138796,long,475797,411326,112876
138856,long,559030,361807,79163
138916,long,496235,373155,130609
138976,long,516625,361203,122172
139036,long,550241,397363,52396
139096,short,276659,723331,10
