sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
11596,hold,0,0,1000000
11656,short,461598,532954,5448
11716,hold,0,0,1000000
11776,hold,296689,318413,384898
11836,hold,279571,269424,451006
11896,hold,329243,257852,412906
11956,hold,285804,277095,437101
12016,hold,448374,462465,89161
12076,hold,361333,280957,357711
12136,hold,0,0,1000000
12196,hold,0,0,1000000
12256,hold,0,0,1000000
12316,hold,337584,374316,288099
12376,hold,0,0,1000000
12436,hold,0,0,1000000
12496,hold,366417,439834,193749
12556,hold,0,0,1000000
12616,long,559648,346202,94151
12676,hold,409711,302213,288076
12736,short,423694,551558,24748
12796,hold,0,0,1000000
12856,hold,0,0,1000000
12916,hold,360372,321210,318418
12976,hold,0,0,1000000
13036,hold,0,0,1000000
13096,hold,0,0,1000000
13156,hold,0,0,1000000
13216,hold,0,0,1000000
13276,hold,0,0,1000000
13336,hold,0,0,1000000
13396,hold,0,0,1000000
13456,hold,346432,294731,358837
13516,hold,0,0,1000000
13576,hold,0,0,1000000
13636,hold,0,0,1000000
13696,hold,0,0,1000000
13756,hold,0,0,1000000
13816,hold,0,0,1000000
13876,short,388393,608551,3056
13936,long,562689,339803,97508
13996,hold,0,0,1000000
14056,hold,385007,473116,141878
14116,hold,0,0,1000000
14176,hold,0,0,1000000
14236,hold,0,0,1000000
14296,hold,0,0,1000000
14356,hold,0,0,1000000
14416,hold,0,0,1000000
14476,hold,0,0,1000000
14536,hold,237592,244619,517790
14596,hold,0,0,1000000
14656,hold,0,0,1000000
14716,hold,0,0,1000000
14776,hold,0,0,1000000
14836,hold,0,0,1000000
14896,hold,0,0,1000000
14956,hold,246520,222585,530896
15016,hold,209126,207703,583171
15076,hold,0,0,1000000
15136,hold,0,0,1000000
15196,hold,0,0,1000000
15256,hold,0,0,1000000
15316,hold,0,0,1000000
15376,hold,0,0,1000000
15436,hold,275949,425639,298412
15496,hold,229952,222009,548039
15556,hold,0,0,1000000
15616,hold,0,0,1000000
15676,hold,185551,214344,600104
15736,hold,0,0,1000000
15796,hold,0,0,1000000
15856,hold,0,0,1000000
15916,hold,0,0,1000000
15976,hold,0,0,1000000
16036,hold,0,0,1000000
16096,hold,0,0,1000000
16156,hold,0,0,1000000
16216,hold,0,0,1000000
16276,hold,222268,236110,541622
16336,hold,0,0,1000000
16396,hold,0,0,1000000
16456,hold,319732,249558,430710
16516,hold,0,0,1000000
16576,hold,298617,252061,449322
16636,hold,0,0,1000000
16696,hold,288235,256004,455761
16756,hold,0,0,1000000
16816,hold,0,0,1000000
16876,hold,263376,242791,493832
16936,hold,0,0,1000000
16996,hold,193807,246904,559289
17056,hold,0,0,1000000
17116,hold,199441,266937,533623
17176,hold,329945,371550,298505
17236,hold,0,0,1000000
17296,hold,228702,240822,530476
17356,hold,0,0,1000000
17416,long,544090,302896,153014
17476,hold,0,0,1000000
17536,hold,309928,287221,402851
17596,hold,0,0,1000000
17656,hold,0,0,1000000
17716,hold,419096,347066,233838
17776,hold,0,0,1000000
17836,hold,454073,349461,196466
17896,hold,404085,442017,153898
17956,hold,460057,379811,160132
18016,hold,0,0,1000000
18076,hold,0,0,1000000
18136,hold,0,0,1000000
18196,long,656181,330530,13288
18256,hold,0,0,1000000
18316,hold,0,0,1000000
18376,hold,0,0,1000000
18436,hold,0,0,1000000
18496,hold,0,0,1000000
18556,hold,375509,385603,238888
18616,hold,437336,411035,151629
18676,hold,0,0,1000000
18736,hold,0,0,1000000
18796,hold,372302,324420,303278
18856,hold,0,0,1000000
18916,hold,0,0,1000000
18976,hold,0,0,1000000
19036,hold,226559,233064,540377
19096,hold,271514,274156,454330
19156,hold,216243,221104,562653
19216,hold,350447,317588,331965
19276,hold,0,0,1000000
19336,hold,331471,401703,266826
19396,hold,0,0,1000000
19456,hold,0,0,1000000
19516,hold,0,0,1000000
19576,hold,0,0,1000000
19636,hold,0,0,1000000
19696,long,520859,429353,49789
19756,hold,0,0,1000000
19816,hold,0,0,1000000
19876,hold,331253,267256,401491
19936,hold,0,0,1000000
19996,hold,0,0,1000000
20056,hold,0,0,1000000
20116,hold,0,0,1000000
20176,hold,320395,255357,424247
20236,hold,0,0,1000000
20296,hold,0,0,1000000
20356,hold,0,0,1000000
20416,hold,0,0,1000000
20476,hold,329705,384104,286191
20536,hold,0,0,1000000
20596,hold,257793,229478,512729
20656,hold,0,0,1000000
20716,hold,0,0,1000000
20776,hold,306601,303835,389564
20836,hold,0,0,1000000
20896,hold,0,0,1000000
20956,hold,251961,305591,442448
21016,hold,442047,451918,106034
21076,hold,0,0,1000000
21136,hold,0,0,1000000
21196,hold,0,0,1000000
21256,hold,0,0,1000000
21316,hold,205069,229239,565692
21376,hold,329493,321736,348771
21436,hold,458114,291227,250659
21496,hold,0,0,1000000
21556,hold,0,0,1000000
21616,hold,0,0,1000000
21676,hold,0,0,1000000
21736,hold,0,0,1000000
21796,hold,309133,314194,376674
21856,hold,0,0,1000000
21916,hold,186923,237618,575459
21976,hold,0,0,1000000
22036,hold,234052,228417,537531
22096,hold,0,0,1000000
22156,hold,477072,300736,222192
22216,hold,241434,230191,528375
22276,hold,0,0,1000000
22336,hold,0,0,1000000
22396,hold,0,0,1000000
22456,hold,0,0,1000000
22516,long,585844,396064,18092
22576,hold,341861,427951,230189
22636,hold,0,0,1000000
22696,hold,0,0,1000000
22756,hold,0,0,1000000
22816,hold,327933,292324,379743
22876,hold,0,0,1000000
22936,hold,0,0,1000000
22996,hold,0,0,1000000
23056,hold,0,0,1000000
23116,hold,0,0,1000000
23176,long,501025,324683,174292
23236,hold,406749,374022,219229
23296,hold,0,0,1000000
23356,hold,269080,266588,464332
23416,hold,0,0,1000000
23476,hold,0,0,1000000
23536,hold,0,0,1000000
23596,hold,304057,316040,379903
23656,hold,0,0,1000000
23716,hold,0,0,1000000
23776,hold,246363,238247,515390
23836,hold,0,0,1000000
23896,hold,0,0,1000000
23956,hold,440969,456929,102102
24016,hold,0,0,1000000
24076,hold,0,0,1000000
24136,hold,0,0,1000000
24196,hold,360571,342290,297139
24256,hold,0,0,1000000
24316,hold,490756,292899,216345
24376,hold,330042,351397,318560
24436,hold,0,0,1000000
24496,hold,0,0,1000000
24556,hold,0,0,1000000
24616,hold,0,0,1000000
24676,hold,0,0,1000000
24736,hold,443022,414628,142350
24796,hold,0,0,1000000
24856,hold,0,0,1000000
24916,hold,0,0,1000000
24976,hold,0,0,1000000
25036,hold,302858,281855,415286
25096,hold,0,0,1000000
25156,hold,0,0,1000000
25216,hold,295307,252634,452059
25276,hold,375126,351115,273759
25336,hold,279001,268015,452984
