sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
173716,hold,213193,493833,292973
173776,hold,375435,407355,217211
173836,hold,270016,226897,503087
173896,hold,342361,271699,385940
173956,hold,401081,318260,280659
174016,hold,342806,264606,392588
174076,hold,305851,274291,419858
174136,hold,288289,276215,435496
174196,hold,265923,302972,431105
174256,hold,293009,288779,418213
174316,hold,313867,279546,406587
174376,hold,285341,272772,441887
174436,hold,315712,268215,416073
174496,hold,196589,197510,605901
174556,hold,219660,272525,507815
174616,hold,220624,279400,499976
174676,hold,304904,298617,396479
174736,hold,260728,262741,476531
174796,hold,357487,282853,359660
174856,hold,255109,216336,528554
174916,hold,276308,286202,437490
174976,hold,202935,277871,519194
175036,hold,332760,344707,322533
175096,hold,356942,404450,238608
175156,hold,264864,327063,408073
175216,hold,402529,367231,230240
175276,hold,269157,320630,410213
175336,hold,283031,292691,424277
175396,hold,296167,265852,437981
175456,hold,265095,276806,458100
175516,hold,183629,185045,631326
175576,hold,302566,276700,420733
175636,hold,238003,240837,521160
175696,hold,195197,259773,545030
175756,hold,222222,275283,502496
175816,hold,206101,207015,586884
175876,hold,214144,261551,524305
175936,hold,230289,219272,550439
175996,hold,211072,180967,607961
176056,hold,193438,267223,539339
176116,hold,225697,202196,572107
176176,hold,215422,208568,576010
176236,hold,208350,182786,608864
176296,hold,216700,196356,586944
176356,hold,243372,267953,488675
176416,hold,243256,199510,557234
176476,hold,251025,275864,473111
176536,hold,159291,177685,663023
176596,hold,246670,272420,480910
176656,hold,185241,256499,558260
176716,hold,263599,300558,435843
176776,hold,282455,273711,443833
176836,hold,222697,190347,586957
176896,hold,157297,171655,671049
176956,hold,157846,162272,679881
177016,hold,223360,217796,558844
177076,hold,181718,163495,654787
177136,hold,353122,250994,395884
177196,hold,268726,266888,464386
177256,hold,271917,295815,432268
177316,hold,262856,279845,457299
177376,hold,298110,222737,479153
177436,hold,237187,211972,550841
177496,hold,254100,218272,527628
177556,hold,265639,228686,505675
177616,hold,270333,313779,415888
177676,hold,280946,283335,435719
177736,hold,225881,297374,476744
177796,hold,287178,235397,477425
177856,hold,291416,206035,502549
177916,hold,205667,209628,584705
177976,hold,237129,229345,533525
178036,hold,195081,206740,598179
178096,hold,227130,280218,492652
178156,hold,201130,201044,597827
178216,hold,221805,193825,584370
178276,hold,184944,185786,629270
178336,hold,242587,248598,508816
178396,hold,136843,151271,711886
178456,hold,326856,357168,315976
178516,hold,353134,345479,301388
178576,hold,403701,308269,288030
178636,hold,318271,281064,400664
178696,hold,534353,331733,133914
178756,hold,297615,248110,454275
178816,hold,295367,236532,468102
178876,hold,197906,228143,573951
178936,hold,232197,271353,496450
178996,hold,238785,239403,521812
179056,hold,186864,192529,620607
179116,hold,196350,295036,508614
179176,hold,183739,192747,623514
179236,hold,205028,269962,525010
179296,hold,317775,266198,416028
179356,hold,227516,246133,526351
179416,hold,395333,467416,137250
179476,hold,374080,400678,225241
179536,hold,393906,294504,311590
179596,hold,241742,276953,481304
179656,hold,351085,291966,356948
179716,hold,359668,286336,353996
179776,hold,303753,233588,462659
179836,hold,396425,290282,313293
179896,hold,341933,293834,364233
179956,hold,203547,216779,579674
180016,hold,295187,291022,413791
180076,hold,303466,238059,458476
180136,hold,300456,276575,422968
180196,hold,219407,220982,559611
180256,hold,174710,183695,641595
180316,hold,181097,171072,647830
180376,hold,193936,197174,608890
180436,hold,198741,219889,581370
180496,hold,243572,281414,475014
180556,hold,176247,181881,641872
180616,hold,202957,203496,593548
180676,hold,245435,249646,504919
180736,hold,292432,233647,473922
180796,hold,281029,261931,457040
180856,hold,390528,333542,275930
180916,hold,308042,307746,384212
180976,hold,373049,339463,287487
181036,hold,334962,274330,390708
181096,hold,301671,217918,480411
181156,hold,291348,284950,423702
181216,hold,240823,227753,531424
181276,hold,220004,268647,511350
181336,hold,397620,327057,275323
181396,hold,370480,304578,324942
181456,hold,353364,319760,326876
181516,hold,379864,304723,315413
181576,hold,316004,310813,373182
181636,hold,258638,262238,479124
181696,hold,340117,301255,358629
181756,hold,305624,308984,385392
181816,hold,346980,280369,372651
181876,hold,220955,215748,563297
181936,hold,207059,276704,516237
181996,hold,188532,185059,626409
182056,hold,227606,231463,540931
182116,hold,245154,275925,478921
182176,hold,203620,190853,605527
182236,hold,191376,277298,531326
182296,hold,333181,302069,364750
182356,hold,314064,328213,357723
182416,hold,312898,344841,342261
182476,hold,255637,254002,490361
182536,hold,350185,387606,262209
182596,hold,341027,366201,292772
182656,hold,349877,348207,301916
182716,hold,303228,295995,400777
182776,hold,376257,284811,338932
182836,hold,243455,263399,493146
182896,hold,232050,288165,479786
182956,hold,341182,290110,368708
183016,hold,447442,302136,250422
183076,hold,308781,285006,406213
183136,hold,317933,330165,351902
183196,hold,279714,275401,444885
183256,hold,231529,221985,546485
183316,hold,254304,286093,459603
183376,hold,392382,302485,305133
183436,hold,198142,206110,595748
183496,hold,209368,211555,579076
183556,hold,243569,239207,517224
183616,hold,218212,275656,506132
183676,hold,243880,244356,511764
