sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
12781,hold,292447,296855,410699
12841,hold,295255,294332,410414
12901,hold,284817,291781,423402
12961,hold,294499,297669,407832
13021,hold,295320,296081,408599
13081,hold,293602,287862,418536
13141,hold,299171,298420,402409
13201,hold,300712,301592,397696
13261,hold,311592,292241,396167
13321,hold,299906,293048,407046
13381,hold,291307,292937,415756
13441,hold,303108,306029,390862
13501,hold,293435,306326,400239
13561,hold,290834,291389,417777
13621,hold,284403,295533,420063
13681,hold,288227,295841,415932
13741,hold,291098,295782,413120
13801,hold,287194,294294,418512
13861,hold,283327,300934,415739
13921,hold,296203,296034,407763
13981,hold,298263,304059,397678
14041,hold,275991,281203,442805
14101,hold,289379,288903,421718
14161,hold,287540,298239,414220
14221,hold,298522,298845,402633
14281,hold,299101,301999,398900
14341,hold,285633,285565,428802
14401,hold,286408,287965,425626
14461,hold,304007,300849,395144
14521,hold,279643,283339,437018
14581,hold,292909,299986,407105
14641,hold,293577,282230,424193
14701,hold,291543,292081,416377
14761,hold,296546,297532,405922
14821,hold,300251,296936,402813
14881,hold,311095,302424,386481
14941,hold,293273,304740,401987
15001,hold,291716,295823,412461
15061,hold,295552,300092,404355
15121,hold,286107,295184,418710
15181,hold,297142,289859,412998
15241,hold,292416,290703,416881
15301,hold,286011,299094,414895
15361,hold,304754,302282,392965
15421,hold,289322,300230,410448
15481,hold,307232,297888,394880
15541,hold,289495,292877,417628
15601,hold,295861,296832,407308
15661,hold,293267,295574,411159
15721,hold,293053,294305,412643
15781,hold,300515,300417,399068
15841,hold,287010,285173,427817
15901,hold,298800,285464,415737
15961,hold,302301,291170,406528
16021,hold,293176,301986,404838
16081,hold,289189,294129,416683
16141,hold,305443,283958,410598
16201,hold,285651,278187,436162
16261,hold,295199,300481,404320
16321,hold,285921,279915,434164
16381,hold,296387,293813,409800
16441,hold,288545,278829,432627
16501,hold,301460,297835,400705
16561,hold,265155,279926,454919
16621,hold,288550,297553,413897
16681,hold,292290,299506,408204
16741,hold,294360,299921,405719
16801,hold,297036,291725,411239
16861,hold,285003,296366,418631
16921,hold,294217,293637,412145
16981,hold,286743,292528,420729
17041,hold,299221,291803,408976
17101,hold,301720,303384,394896
17161,hold,298220,288694,413086
17221,hold,292610,296513,410877
17281,hold,296127,291211,412662
17341,hold,297644,297877,404480
17401,hold,289243,288968,421789
17461,hold,296838,301372,401790
17521,hold,311473,301657,386870
17581,hold,303155,298232,398613
17641,hold,272589,265476,461935
17701,hold,302608,296404,400988
17761,hold,295855,292725,411420
17821,hold,290628,303016,406356
17881,hold,282140,290405,427455
17941,hold,285385,285310,429305
18001,hold,292868,297675,409457
18061,hold,279886,286210,433904
18121,hold,286223,296708,417068
18181,hold,284767,301491,413742
18241,hold,294006,302514,403480
18301,hold,304326,301030,394644
18361,hold,287403,289796,422801
18421,hold,298980,297507,403512
18481,hold,295724,293585,410692
18541,hold,294938,304564,400498
18601,hold,293601,294499,411899
18661,hold,293547,292775,413678
18721,hold,279775,274247,445977
18781,hold,299108,300255,400638
