sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
219196,hold,228494,234394,537112
219256,hold,216650,273776,509573
219316,hold,184530,176781,638689
219376,hold,192921,217071,590007
219436,short,396241,410047,193713
219496,long,387537,297410,315054
219556,hold,318590,313243,368167
219616,hold,312822,290445,396733
219676,hold,272970,226451,500579
219736,long,406105,387207,206687
219796,long,392393,295710,311897
219856,hold,241850,271497,486653
219916,hold,269719,317089,413191
219976,hold,242242,251625,506134
220036,hold,221785,276773,501442
220096,hold,265619,237600,496780
220156,hold,212739,240622,546639
220216,hold,320326,286272,393402
220276,hold,211935,186566,601499
220336,hold,267995,241419,490585
220396,hold,233361,281257,485383
220456,hold,186348,216081,597571
220516,long,387119,358795,254086
220576,hold,285424,267584,446992
220636,hold,215715,217996,566289
220696,hold,169287,211093,619620
220756,hold,197698,217340,584962
220816,hold,226086,245079,528835
220876,hold,246000,205690,548310
220936,hold,222360,228100,549539
220996,hold,178936,216241,604823
221056,hold,256307,242832,500861
221116,hold,234938,238914,526148
221176,long,364928,361057,274016
221236,hold,273620,221176,505204
221296,hold,247588,281055,471357
221356,hold,309278,275103,415619
221416,hold,308343,274729,416928
221476,hold,239002,191860,569138
221536,hold,220163,256363,523474
221596,hold,292555,316927,390518
221656,hold,302265,256895,440840
221716,hold,236568,270335,493097
221776,hold,296098,289768,414133
221836,hold,266838,279118,454044
221896,hold,204192,230175,565632
221956,hold,282398,290318,427285
222016,hold,214246,214660,571094
222076,hold,255154,240538,504308
222136,hold,224170,225712,550119
222196,hold,195387,213937,590676
222256,hold,234087,244087,521826
222316,hold,205689,230589,563722
222376,hold,201316,160901,637782
222436,hold,228151,218605,553243
222496,hold,335918,267735,396347
222556,hold,257826,263261,478913
222616,long,419869,369804,210328
222676,hold,272959,242337,484704
222736,hold,208787,275426,515787
222796,hold,215933,241095,542972
222856,hold,237737,231475,530789
222916,hold,256542,247626,495831
222976,hold,250574,312382,437044
223036,hold,291918,273207,434874
223096,hold,249772,236942,513286
223156,hold,214468,234728,550805
223216,hold,220909,226001,553090
223276,hold,225815,228123,546062
223336,hold,281341,255544,463115
223396,hold,265048,262700,472251
223456,hold,205394,191597,603009
223516,hold,152043,202368,645589
223576,hold,226114,221575,552311
223636,hold,314073,275376,410552
223696,hold,233475,238345,528181
223756,hold,198082,188168,613751
223816,hold,161903,198508,639589
223876,hold,211570,224611,563820
223936,hold,259060,205266,535674
223996,hold,219337,234399,546264
224056,long,463676,433660,102664
224116,long,408876,325540,265584
224176,short,294905,373295,331801
224236,long,433281,364538,202180
224296,short,359019,537275,103706
224356,short,341587,537891,120522
224416,short,427192,520416,52392
224476,long,559490,409037,31474
224536,long,434499,364704,200797
224596,hold,238719,253711,507570
224656,short,284330,382495,333175
224716,hold,199869,149754,650377
224776,hold,247939,302960,449101
224836,hold,264534,201127,534339
224896,hold,195425,161796,642779
224956,hold,192511,173655,633835
225016,hold,224688,198880,576433
225076,hold,196984,212132,590884
225136,hold,241612,221171,537217
225196,hold,236065,218225,545710
225256,hold,246253,232310,521438
225316,hold,207779,221313,570908
225376,hold,229253,278574,492173
225436,long,356507,292987,350506
225496,hold,307597,297517,394886
225556,long,422913,348934,228153
225616,hold,276780,282605,440614
225676,hold,329741,320512,349747
225736,hold,262464,263133,474403
225796,hold,285071,258694,456234
225856,hold,272802,265835,461363
225916,hold,268212,296592,435196
225976,hold,212850,223160,563990
226036,hold,234988,249528,515484
226096,hold,201640,264914,533446
226156,hold,257960,209170,532870
226216,hold,224978,234630,540392
226276,hold,235102,198512,566386
226336,hold,137031,187592,675377
226396,hold,202276,209241,588483
226456,hold,201891,207430,590679
226516,hold,249239,273315,477445
226576,hold,171622,200688,627689
226636,hold,220796,220637,558568
226696,hold,209221,218036,572743
226756,hold,212045,200561,587394
226816,hold,200192,217010,582798
226876,hold,243176,211033,545791
226936,hold,216713,225422,557865
226996,hold,272296,287777,439927
227056,hold,203695,186604,609701
227116,hold,196117,207740,596144
227176,hold,245304,238784,515912
227236,hold,203492,221868,574640
227296,hold,262681,224421,512898
227356,hold,161168,191334,647498
227416,hold,182869,204221,612910
227476,hold,176767,211833,611400
227536,hold,224228,214399,561373
227596,hold,176164,221948,601887
227656,hold,199133,220549,580318
227716,hold,167136,188437,644427
227776,hold,196841,206050,597109
227836,hold,153070,182412,664519
227896,hold,253014,240402,506584
227956,hold,252723,233409,513868
228016,hold,169919,189296,640785
228076,hold,197891,219452,582656
228136,hold,259106,269686,471207
228196,hold,178651,170517,650832
228256,hold,220888,203719,575393
228316,hold,194103,221680,584217
228376,hold,233269,226839,539892
228436,hold,242082,257169,500749
228496,hold,201927,219882,578191
228556,hold,216695,231981,551324
228616,hold,248408,216858,534733
228676,hold,158263,170179,671558
228736,hold,233209,217575,549216
228796,hold,210349,220140,569511
228856,hold,287763,285608,426629
228916,hold,323069,282452,394479
228976,hold,315829,289519,394652
229036,hold,323858,319248,356895
229096,hold,289891,232617,477492
229156,hold,218153,211201,570645
229216,hold,197860,191421,610719
229276,hold,273441,245282,481277
229336,hold,232885,210714,556401
229396,hold,222073,234880,543047
229456,hold,185726,194059,620215
229516,hold,209940,177896,612164
229576,long,430513,364867,204620
229636,hold,222710,242343,534947
229696,hold,219337,206581,574082
229756,hold,207892,204638,587470
229816,long,385394,354522,260085
229876,long,366405,364358,269237
229936,hold,250449,276914,472637
229996,long,357233,319082,323686
230056,hold,256727,275049,468223
230116,hold,209395,233052,557554
230176,hold,223345,268895,507759
230236,hold,336367,271273,392360
230296,long,479361,334161,186477
230356,hold,238377,248083,513540
230416,hold,252242,269631,478127
230476,hold,256819,282359,460821
230536,hold,331676,276950,391373
230596,hold,229057,254306,516637
230656,hold,174672,235989,589340
230716,hold,239577,229256,531167
230776,hold,279507,289972,430521
230836,hold,267741,279754,452505
230896,hold,247105,295485,457409
230956,hold,303581,279662,416757
231016,hold,276115,236725,487160
231076,hold,255400,291984,452616
231136,hold,249924,286597,463479
231196,hold,257023,204238,538739
231256,long,387888,357712,254399
231316,long,473062,339506,187433
231376,long,348676,312553,338771
231436,hold,319215,309901,370885
231496,hold,330030,275632,394338
231556,hold,248843,216854,534302
231616,short,326380,361897,311723
231676,short,320839,523048,156112
231736,hold,248220,209859,541921
231796,hold,268780,271462,459758
231856,hold,280699,303377,415924
231916,hold,306006,295142,398852
231976,hold,246678,257072,496250
232036,hold,235016,244602,520382
232096,hold,229843,242557,527601
232156,hold,187751,212452,599798
232216,hold,205159,207986,586855
232276,hold,227508,238322,534170
232336,hold,248955,242236,508809
232396,hold,267524,260216,472260
232456,hold,221853,233659,544488
232516,hold,207470,233459,559071
232576,hold,269382,294703,435915
232636,long,346400,296462,357139
232696,long,376860,297500,325640
232756,short,333839,350728,315433
232816,hold,332473,313151,354376
232876,hold,279861,277001,443139
232936,short,361102,451131,187767
232996,long,380068,291668,328264
233056,hold,308060,283559,408380
233116,hold,299922,281306,418773
233176,long,386708,297364,315928
233236,hold,286096,254141,459763
233296,hold,232633,227022,540345
233356,hold,241902,266951,491146
233416,hold,301344,289829,408827
233476,hold,220732,240494,538775
233536,hold,306106,275712,418181
233596,hold,304745,249025,446231
233656,hold,238655,247099,514246
233716,hold,225606,247992,526402
233776,hold,305787,286432,407781
233836,hold,228260,246065,525675
233896,hold,232481,232172,535347
233956,hold,326579,309721,363699
234016,hold,255722,261319,482959
234076,hold,282809,259435,457756
234136,long,362953,310607,326439
234196,hold,224623,281685,493692
234256,long,366233,350856,282911
234316,hold,252739,213841,533421
234376,hold,262728,263819,473453
234436,long,395699,299416,304885
234496,short,419677,473105,107218
234556,long,483270,319966,196764
234616,long,420030,374421,205549
234676,short,335767,361955,302279
234736,short,406033,566047,27920
234796,long,533767,452672,13561
234856,long,450601,403474,145925
234916,long,388240,369028,242732
234976,short,371928,380315,247757
235036,hold,252322,251591,496088
235096,hold,314430,300608,384962
235156,hold,336481,294860,368659
235216,hold,288717,248595,462688
235276,long,369074,347154,283773
235336,long,398382,317360,284257
235396,hold,266357,300254,433389
235456,hold,278392,266271,455337
235516,hold,272790,271579,455631
235576,long,459283,401361,139356
235636,long,391334,350421,258246
235696,hold,328295,304833,366872
235756,short,316889,359682,323429
235816,long,407818,342497,249684
235876,long,357418,308061,334521
235936,long,371816,355728,272456
235996,hold,330529,302405,367067
236056,hold,275759,228257,495985
236116,hold,187909,236569,575523
236176,hold,202311,209199,588490
236236,long,350361,293744,355896
236296,hold,270320,265962,463718
236356,hold,213312,218432,568256
236416,hold,235126,241516,523358
236476,hold,181609,202986,615405
236536,hold,175546,219849,604605
236596,hold,202668,217374,579958
236656,hold,241352,231027,527620
236716,hold,227555,227619,544827
236776,hold,215974,233142,550885
236836,hold,197595,211363,591042
236896,hold,199270,231796,568934
236956,hold,228571,230129,541300
237016,hold,251354,266583,482064
237076,hold,197804,215169,587026
237136,hold,298235,270383,431382
237196,hold,284436,269573,445990
237256,hold,234189,241541,524270
237316,hold,276033,278188,445779
237376,hold,327851,311414,360734
237436,hold,279428,185369,535203
237496,hold,256206,204901,538893
237556,hold,173685,205867,620448
237616,hold,223371,186441,590188
237676,hold,181067,226986,591947
237736,hold,256123,233102,510775
237796,hold,184629,192273,623098
237856,hold,181730,197694,620576
237916,hold,155761,188423,655815
237976,hold,187491,187214,625295
238036,hold,293026,254086,452887
238096,hold,240371,239886,519743
238156,hold,203108,206276,590616
238216,hold,259827,218791,521382
238276,hold,181554,210306,608140
238336,hold,219968,227375,552657
238396,hold,235042,243998,520960
238456,hold,242063,264142,493795
238516,hold,234914,230585,534501
238576,hold,226567,246641,526791
238636,hold,212430,241523,546047
238696,hold,201501,239457,559041
238756,hold,212728,223081,564191
238816,hold,276014,274851,449135
238876,long,377517,295880,326603
238936,long,348738,298676,352586
238996,hold,224585,273012,502403
239056,hold,201001,220328,578671
239116,short,374198,402828,222974
239176,hold,266291,196766,536943
239236,hold,257776,252958,489266
239296,hold,250598,238532,510870
239356,hold,213866,180754,605380
239416,hold,190539,190008,619453
239476,hold,231736,214616,553649
239536,hold,259262,245037,495701
239596,hold,188218,235223,576560
239656,hold,221785,220567,557648
239716,hold,227659,207896,564446
239776,hold,239920,252105,507975
239836,hold,254112,262963,482925
239896,long,385014,381960,233026
239956,hold,298585,273491,427923
240016,hold,285884,275687,438429
240076,hold,281590,268662,449748
240136,hold,254528,247130,498343
240196,hold,229297,204468,566236
240256,long,357994,356247,285760
240316,hold,205357,232425,562218
240376,hold,252262,272454,475284
240436,long,497688,310660,191652
240496,long,477136,463693,59171
240556,long,416224,274436,309340
240616,hold,197577,296601,505822
240676,hold,308879,300378,390743
240736,hold,248909,277837,473254
240796,hold,257693,249795,492511
240856,hold,296279,273215,430506
240916,hold,237605,233676,528719
240976,hold,296386,285243,418371
241036,hold,263097,271589,465315
241096,hold,285806,271473,442721
241156,hold,298913,290668,410419
241216,hold,297769,316260,385971
241276,hold,304724,284342,410934
241336,long,391358,355872,252770
241396,long,455525,438180,106296
241456,long,440924,344658,214419
241516,long,453709,410902,135389
241576,short,320643,340849,338509
241636,long,346598,256972,396430
241696,hold,253279,327350,419370
241756,long,389082,285890,325028
241816,long,358176,265636,376189
241876,hold,267998,257512,474490
241936,hold,192577,227153,580271
241996,hold,225803,201417,572779
242056,short,306082,370195,323723
242116,hold,281712,213561,504726
242176,hold,225001,199205,575794
242236,hold,161820,191114,647066
242296,hold,199138,221401,579461
242356,long,342329,265963,391708
242416,hold,238321,220703,540976
242476,hold,231964,260303,507734
242536,hold,324314,294236,381450
242596,long,354705,279406,365889
242656,hold,292429,278307,429264
242716,short,295150,345857,358993
242776,long,512680,392962,94357
242836,short,387032,482667,130301
242896,short,359043,366751,274206
242956,hold,303884,307789,388327
243016,long,483497,416385,100117
243076,long,507874,455220,36906
243136,long,374723,314984,310293
243196,hold,274542,240999,484459
243256,hold,241290,265886,492824
243316,hold,235304,219954,544742
243376,hold,238471,247791,513738
243436,long,356839,309241,333920
243496,hold,245961,292858,461181
243556,hold,226244,203721,570035
243616,hold,216478,211231,572290
243676,hold,213279,276976,509744
243736,hold,222003,229723,548274
243796,hold,203863,216013,580124
243856,hold,201245,227913,570842
243916,hold,217012,217133,565855
243976,hold,222859,187173,589968
244036,hold,214807,235170,550023
244096,hold,292220,253058,454722
244156,hold,205957,215857,578186
244216,hold,291913,263738,444349
244276,hold,317951,289323,392726
244336,hold,273503,264840,461656
244396,hold,321194,287562,391244
244456,hold,269258,224525,506217
244516,hold,288976,300024,411001
244576,hold,307666,253325,439009
244636,hold,226489,238228,535284
244696,hold,274797,238334,486869
244756,hold,299239,243691,457070
244816,hold,196753,223383,579863
244876,hold,286646,243449,469905
244936,hold,190501,197590,611909
244996,hold,250810,224132,525058
245056,hold,188849,214608,596543
245116,hold,255297,224005,520699
245176,hold,198857,206631,594511
245236,hold,262141,214914,522945
245296,hold,234305,169137,596558
245356,hold,305894,276445,417661
245416,hold,290526,259125,450349
245476,hold,213270,247031,539699
245536,hold,196581,225520,577900
245596,hold,207246,249282,543471
245656,long,387914,356210,255877
245716,long,531657,371391,96952
245776,long,377191,349926,272883
245836,long,349861,327156,322983
245896,long,497377,362357,140266
245956,hold,290885,327343,381772
246016,hold,307811,231787,460402
246076,hold,260472,274403,465125
246136,hold,268048,272921,459031
246196,hold,284608,287190,428202
246256,hold,201948,219741,578311
246316,hold,217605,233233,549161
246376,hold,164593,186760,648647
246436,hold,178657,174964,646378
246496,hold,168792,187159,644050
246556,hold,169459,189318,641222
246616,hold,183971,195410,620619
246676,hold,178116,217165,604719
246736,hold,175489,189554,634957
246796,hold,145907,148516,705577
246856,hold,178248,213468,608285
246916,hold,161250,183741,655009
246976,hold,160827,170065,669109
247036,hold,187337,201103,611560
247096,hold,235782,213470,550747
247156,hold,235666,266618,497715
247216,hold,252116,236109,511775
247276,hold,210799,222621,566580
247336,hold,304080,269733,426187
247396,long,378820,329457,291723
247456,long,375069,314680,310251
247516,short,305695,372439,321866
247576,long,569058,364421,66521
247636,long,352619,302669,344712
247696,long,527236,396514,76250
247756,long,354995,300517,344488
247816,long,510700,436902,52398
247876,long,427367,318166,254467
247936,short,318828,349927,331245
247996,hold,291117,290751,418131
248056,hold,260067,249601,490332
248116,hold,235298,251061,513641
248176,hold,322277,282216,395507
248236,hold,249897,227720,522383
248296,hold,328874,326306,344819
248356,hold,274324,211501,514175
248416,hold,201624,255046,543329
248476,short,307713,432914,259372
248536,long,493065,460808,46127
248596,long,591314,353927,54758
248656,long,424184,420074,155742
248716,short,380826,545862,73312
248776,hold,258637,328095,413268
248836,hold,324409,325774,349817
248896,short,435796,467210,96994
248956,long,471459,299200,229340
249016,long,353571,349662,296767
249076,long,403186,321644,275170
249136,hold,332124,290502,377374
249196,long,406975,298549,294475
249256,hold,233280,238111,528609
249316,hold,281781,295934,422285
249376,hold,228850,253798,517352
249436,hold,239329,200639,560032
249496,hold,182321,168357,649322
249556,short,244647,342661,412692
249616,hold,229696,206208,564096
249676,hold,251632,242235,506133
249736,hold,241191,235788,523021
249796,hold,233980,251886,514134
249856,hold,226633,232069,541298
249916,hold,257599,283181,459221
249976,long,398616,336152,265231
250036,long,389493,356848,253659
250096,long,400843,392868,206289
250156,long,535782,388404,75814
250216,long,440004,330489,229507
250276,short,305637,370331,324032
250336,long,389131,283147,327722
250396,long,427964,299916,272120
250456,short,424567,497735,77699
250516,long,394641,329193,276166
250576,hold,294051,311755,394193
250636,long,340538,333797,325665
250696,hold,303473,320062,376465
250756,hold,296679,327369,375952
250816,hold,210055,269266,520680
250876,hold,284809,246592,468600
250936,hold,201393,239273,559334
250996,hold,243719,315885,440396
251056,long,426766,365147,208087
251116,hold,309080,262331,428589
251176,hold,266638,307720,425642
251236,hold,233320,261182,505498
251296,hold,261298,252298,486404
251356,hold,333492,308137,358371
251416,long,425938,342429,231633
251476,hold,281758,292034,426208
251536,hold,308770,301960,389270
251596,hold,280550,268895,450554
